league,rating
england_premier_league,1.4128359412577263
spain_la_liga,1.2362931173606426
germany_bundesliga,1.0913212075321157
italy_serie_a,1.0347442692929114
france_ligue_1,0.7975656208224376
netherlands_eredivisie,0.6429571465052815
portugal_liga_nos,0.5824282873263986
england_championship,0.2958586947984828
greece_super_league,0.26656497419376507
austria_bundesliga,0.21922898538586075
denmark_superliga,0.18081685128515262
belgium_pro_league,0.17681785840392011
turkey_s_per_lig,0.17244329423536398
croatia_prva_hnl,0.09616867585969445
ukraine_ukrainian_premier_league,0.09087562986894795
switzerland_super_league,-0.028316398202881232
czech_republic_first_league,-0.03748637010549072
scotland_premiership,-0.1345876087381388
england_efl_league_one,-0.19078379103769358
azerbaijan_premyer_liqas,-0.1926203253580373
serbia_superliga,-0.22329173621750337
romania_liga_i,-0.22783872338710676
poland_ekstraklasa,-0.2793970267367563
bulgaria_first_league,-0.3179759079108893
hungarionb_i,-0.42883774689220866
england_efl_league_two,-0.5711256662945148
slovakia_super_liga,-0.5775748034874564
moldova_moldovaionational_division,-0.7401619829019639
albania_superliga,-1.1746333729356602
armenia_armenian_premier_league,-1.2434513470301252
netherlands_eerste_divisie,-1.9288377468922175
